2019.09.26 09:53:34 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJS / 3.1.1.5128 / 564d130c281685fde03e85964417158e32a17b2b
2019.09.26 09:53:34 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJava / 4.12.0.11033 / fa9fe66b0cb1b6ab8d7f341cc1f7908897a9cf33
2019.09.26 09:53:34 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPHP / 2.10.0.2087 / b24a8fcb16d37cae2f8c6741141f4136c444851f
2019.09.26 09:53:34 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPython / 1.8.0.1496 / 3fe3bc4d0273a5721ea2fb368dc45b1bb82fede3
2019.09.26 09:53:34 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarXML / 1.4.3.1027 / 39588245cecf538bb27be4e496ff303b0143d20b
2019.09.26 09:53:34 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@1a5dc34 [pattern=UrlPattern{inclusions=[/api/system/migrate_db/*, ...], exclusions=[/api/properties*, ...]}]
2019.09.26 09:53:35 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2019.09.26 09:53:36 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2019.09.26 09:53:37 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2019.09.26 09:53:37 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2019.09.26 09:53:37 INFO  web[][o.s.s.r.RegisterRules] Register rules
2019.09.26 09:53:40 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2019.09.26 09:53:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2019.09.26 09:53:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2019.09.26 09:53:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2019.09.26 09:53:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2019.09.26 09:53:43 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
